attempt_id,player_id,mission_id,attempt_date,difficulty_selected,actual_playtime_mins,completed,deaths_count,used_stealth,outcome,attempt_number
1,1,1,2024-05-16,Normal,25.2,1,1,0,Completed,1
2,1,2,2024-02-20,Normal,24.9,0,0,0,Abandoned,1
3,1,3,2024-05-09,Normal,45.3,1,2,0,Completed,1
4,1,4,2024-02-08,Normal,62.1,1,4,0,Completed,1
5,1,5,2024-05-23,Normal,45.6,1,1,0,Completed,1
6,1,6,2023-12-13,Normal,24.9,1,1,0,Completed,1
7,1,7,2023-11-15,Normal,43.0,1,3,0,Completed,1
8,1,8,2024-05-23,Normal,17.9,0,0,0,Failed,1
9,1,9,2024-06-03,Normal,59.0,1,3,0,Completed,1
10,1,10,2024-06-30,Normal,61.6,1,0,0,Completed,1
11,1,11,2023-12-24,Normal,52.2,1,1,1,Completed,1
12,1,11,2024-03-13,Normal,52.4,1,1,0,Completed,2
13,1,12,2024-03-29,Normal,81.0,1,4,0,Completed,1
14,1,13,2024-03-17,Normal,24.7,1,1,0,Completed,1
15,1,14,2024-04-30,Normal,23.0,1,1,0,Completed,1
16,1,15,2023-11-20,Normal,24.9,1,0,1,Completed,1
17,1,16,2024-05-22,Normal,24.7,1,2,0,Completed,1
18,1,17,2024-02-06,Normal,24.4,1,1,0,Completed,1
19,1,18,2024-05-03,Normal,31.6,1,1,1,Completed,1
20,1,18,2024-01-31,Normal,33.2,1,1,1,Completed,2
21,1,19,2024-02-24,Normal,17.7,1,0,0,Completed,1
22,1,20,2024-02-13,Normal,24.0,1,1,0,Completed,1
23,1,21,2024-05-03,Normal,17.3,1,0,0,Completed,1
24,1,22,2024-02-03,Normal,14.5,1,1,0,Completed,1
25,1,23,2024-04-19,Normal,11.3,1,3,0,Completed,1
26,1,24,2024-02-19,Normal,9.0,0,0,0,Abandoned,1
27,1,25,2024-04-05,Normal,20.8,1,5,0,Completed,1
28,1,26,2024-03-09,Normal,13.6,1,0,0,Completed,1
29,1,27,2024-03-17,Normal,15.6,1,0,0,Completed,1
30,1,28,2024-04-16,Normal,22.0,1,0,0,Completed,1
31,1,29,2024-03-20,Normal,27.6,1,6,0,Completed,1
32,1,30,2024-04-20,Normal,12.4,0,2,0,Abandoned,1
33,1,31,2024-04-01,Normal,11.5,1,1,0,Completed,1
34,1,32,2024-05-18,Normal,13.2,1,1,0,Completed,1
35,1,33,2024-06-08,Normal,7.6,1,0,0,Completed,1
36,1,34,2024-05-02,Normal,5.6,0,0,0,Abandoned,1
37,1,35,2024-01-10,Normal,10.1,1,0,0,Completed,1
38,2,1,2024-06-20,Normal,23.8,1,0,0,Completed,1
39,2,2,2024-05-30,Normal,31.0,1,0,1,Completed,1
40,2,3,2024-05-02,Normal,32.6,1,1,0,Completed,1
41,2,4,2024-06-04,Normal,38.1,1,5,1,Completed,1
42,2,5,2024-05-14,Normal,26.4,0,0,0,Failed,1
43,2,6,2024-05-29,Normal,33.6,1,1,1,Completed,1
44,2,7,2024-06-06,Normal,28.3,1,1,0,Completed,1
45,2,8,2024-05-15,Normal,74.2,1,1,0,Completed,1
46,2,8,2024-05-04,Normal,53.4,1,1,0,Completed,2
47,2,9,2024-05-15,Normal,34.4,0,16,0,Failed,1
48,2,10,2024-05-01,Normal,57.8,1,0,0,Completed,1
49,2,11,2024-05-27,Normal,54.5,1,3,0,Completed,1
50,2,12,2024-06-22,Normal,53.1,0,3,0,Abandoned,1
51,2,12,2024-05-29,Normal,87.2,1,2,0,Completed,2
52,2,13,2024-05-17,Normal,29.9,1,2,0,Completed,1
53,2,14,2024-05-07,Normal,21.8,0,0,1,Abandoned,1
54,2,15,2024-06-08,Normal,24.5,1,0,0,Completed,1
55,2,16,2024-05-30,Normal,33.0,1,2,0,Completed,1
56,2,17,2024-06-24,Normal,34.2,1,5,0,Completed,1
57,2,18,2024-05-22,Normal,14.2,0,3,1,Abandoned,1
58,2,19,2024-05-13,Normal,14.3,1,0,0,Completed,1
59,2,20,2024-06-27,Normal,23.9,1,2,0,Completed,1
60,2,21,2024-05-07,Normal,8.6,0,0,0,Failed,1
61,2,22,2024-05-25,Normal,13.0,1,3,0,Completed,1
62,2,23,2024-05-26,Normal,9.2,1,0,0,Completed,1
63,2,24,2024-05-30,Normal,8.0,0,1,0,Failed,1
64,2,25,2024-04-28,Normal,24.7,1,0,0,Completed,1
65,2,26,2024-06-29,Normal,14.5,1,2,0,Completed,1
66,2,27,2024-05-31,Normal,19.4,1,0,0,Completed,1
67,2,28,2024-06-02,Normal,16.7,1,5,0,Completed,1
68,2,28,2024-04-30,Normal,17.5,1,0,0,Completed,2
69,2,29,2024-06-24,Normal,28.8,1,7,0,Completed,1
70,2,29,2024-06-16,Normal,26.4,1,6,0,Completed,2
71,2,30,2024-05-29,Normal,21.8,1,2,0,Completed,1
72,2,31,2024-06-26,Normal,11.1,1,0,0,Completed,1
73,2,32,2024-05-29,Normal,11.6,0,4,1,Abandoned,1
74,2,33,2024-05-13,Normal,8.0,1,3,0,Completed,1
75,2,34,2024-06-25,Normal,4.8,0,1,0,Abandoned,1
76,2,35,2024-05-11,Normal,9.6,1,1,1,Completed,1
77,3,1,2024-04-22,Easy,26.0,1,0,0,Completed,1
78,3,2,2024-06-04,Easy,40.6,1,0,0,Completed,1
79,3,3,2024-04-08,Easy,35.5,1,0,0,Completed,1
80,3,4,2024-03-24,Easy,22.6,0,1,0,Abandoned,1
81,3,4,2024-04-07,Easy,29.5,1,0,0,Completed,2
82,3,5,2024-05-02,Easy,47.1,1,3,1,Completed,1
83,3,6,2024-05-01,Easy,6.3,0,1,1,Abandoned,1
84,3,7,2024-05-22,Easy,34.5,1,0,0,Completed,1
85,3,8,2024-06-24,Easy,40.0,1,11,1,Completed,1
